@RELATION GOCellcycleTeste

@ATTRIBUTE 0.4397 NUMERIC
@ATTRIBUTE 0.3651 NUMERIC
@ATTRIBUTE 0.4108 NUMERIC
@ATTRIBUTE 0.4707 NUMERIC
@ATTRIBUTE 0.5269 NUMERIC
@ATTRIBUTE 0.4426 NUMERIC
@ATTRIBUTE 0.596 NUMERIC
@ATTRIBUTE 0.4496 NUMERIC
@ATTRIBUTE 0.4575 NUMERIC
@ATTRIBUTE 0.6523 NUMERIC
@ATTRIBUTE 0.6278 NUMERIC
@ATTRIBUTE 0.51 NUMERIC
@ATTRIBUTE 0.7202 NUMERIC
@ATTRIBUTE 0.4474 NUMERIC
@ATTRIBUTE 0.4715 NUMERIC
@ATTRIBUTE 0.4894 NUMERIC
@ATTRIBUTE 0.5616 NUMERIC
@ATTRIBUTE 0.5739 NUMERIC
@ATTRIBUTE 0.4087 NUMERIC
@ATTRIBUTE 0.4718 NUMERIC
@ATTRIBUTE 0.6639 NUMERIC
@ATTRIBUTE 0.837 NUMERIC
@ATTRIBUTE 0.6699 NUMERIC
@ATTRIBUTE 0.4023 NUMERIC
@ATTRIBUTE 0.8579 NUMERIC
@ATTRIBUTE 0.4877 NUMERIC
@ATTRIBUTE 0.7107 NUMERIC
@ATTRIBUTE 0.5719 NUMERIC
@ATTRIBUTE 0.5584 NUMERIC
@ATTRIBUTE 0.389 NUMERIC
