0.1091,0.0967,0.0217,0.0321,0.0149,0.0458,0.0402,0.0257,0.0463,0.2267,1.0,GO0004672@GO0005575@GO0015846
0.3577,0.3037,0.1989,0.1485,0.0986,0.5465,0.4429,0.427,0.0318,0.2565,0.75,GO0004829@GO0005739@GO0005737@GO0006412
0.1205,0.0815,0.0629,0.0645,0.0177,0.1754,0.1181,0.105,0.0246,0.1694,0.4444,GO0016887@GO0005524@GO0000404@GO0032139@GO0003697@GO0005634@GO0005739@GO0000710@GO0007131
0.0313,0.0472,0.0242,0.0144,0.0429,0.0833,0.0656,0.0286,0.0132,0.1741,0.6667,GO0003700@GO0005634@GO0009410
0.0342,0.0394,0.0271,0.0167,0.0329,0.038,0.0218,0.0283,0.0083,0.3167,0.5,GO0008047@GO0005628@GO0006031@GO0030437
0.0568,0.0592,0.0322,0.0178,0.0723,0.1762,0.0746,0.0291,0.0117,0.2583,1.0,GO0004842@GO0005783@GO0030433@GO0006333
0.0753,0.1106,0.0538,0.0235,0.1505,0.0998,0.1728,0.072,0.0219,0.3147,0.4,GO0030528@GO0046695@GO0005737@GO0001310@GO0031930
0.002,0.0072,0.0064,0.0015,0.0052,0.0643,0.0077,0.0084,0.0166,0.16,1.0,GO0005215@GO0005575@GO0006810
0.1196,0.2227,0.0823,0.0224,0.1212,0.3943,0.1908,0.0752,0.0406,0.0912,0.3333,GO0004819@GO0005737@GO0006425
0.1178,0.0882,0.0528,0.0721,0.0204,0.1817,0.1479,0.1475,0.0289,0.4,1.0,GO0003704@GO0005634@GO0009098@GO0006357
0.0345,0.0304,0.0238,0.0208,0.0386,0.0601,0.0162,0.025,0.0274,0.1,0.25,GO0005462@GO0005783@GO0006038@GO0015788
0.0469,0.0467,0.0197,0.0262,0.0256,0.3316,0.0768,0.0684,0.035,0.2184,1.0,GO0016563@GO0005737@GO0006012@GO0000411
0.0393,0.0461,0.033,0.0108,0.0615,0.1266,0.0561,0.0229,0.0079,0.1878,0.8,GO0003704@GO0016563@GO0005634@GO0006562@GO0045944
0.081,0.0938,0.0715,0.144,0.0895,0.3579,0.0395,0.0848,0.0162,0.1132,0.25,GO0015071@GO0004741@GO0005739@GO0050790
0.0212,0.0095,0.0091,0.0154,0.0098,0.0744,0.011,0.0062,0.013,0.0667,0.3333,GO0015105@GO0005887@GO0015700
0.1196,0.1474,0.0639,0.0249,0.0562,0.2028,0.094,0.0462,0.0137,0.1229,0.5,GO0005200@GO0005545@GO0000144@GO0005628@GO0005619@GO0001400@GO0007120@GO0000902@GO0007047@GO0000910
0.074,0.0884,0.0481,0.0492,0.0512,0.2897,0.1759,0.0837,0.0208,0.2828,0.125,GO0005198@GO0005643@GO0006259@GO0006998@GO0006999@GO0050000@GO0006974@GO0006607@GO0006608@GO0006609@GO0006610@GO0006611@GO0006406@GO0006407@GO0006408@GO0006409
0.0565,0.0588,0.0396,0.0327,0.0545,0.0669,0.067,0.0737,0.0213,0.088,0.4444,GO0003918@GO0005634@GO0005739@GO0000795@GO0006265@GO0007131@GO0006333@GO0006271@GO0000019
0.0298,0.0501,0.022,0.011,0.043,0.0772,0.0984,0.0442,0.0139,0.332,0.75,GO0003674@GO0005634@GO0006974@GO0042493
0.0688,0.0333,0.0311,0.0481,0.0142,0.1731,0.0735,0.0763,0.0244,0.4296,1.0,GO0003674@GO0005783@GO0006888
0.1376,0.115,0.0607,0.0651,0.0349,0.217,0.1442,0.1053,0.0119,0.2403,0.6667,GO0003700@GO0005634@GO0005739@GO0030474@GO0009408@GO0006357
0.0248,0.0194,0.0413,0.0181,0.0329,0.0537,0.0218,0.0349,0.0266,0.2408,0.3333,GO0031202@GO0005634@GO0000398
0.0353,0.0638,0.0241,0.0136,0.0554,0.0716,0.0635,0.0405,0.024,0.1937,0.75,GO0003700@GO0005634@GO0005739@GO0001101
0.0319,0.0404,0.0165,0.0224,0.031,0.1904,0.0301,0.0248,0.0248,0.2,0.4,GO0004766@GO0005634@GO0005737@GO0008295@GO0015940
0.0409,0.0804,0.041,0.0268,0.0741,0.2015,0.1015,0.0528,0.0286,0.1232,0.5,GO0008859@GO0005739@GO0005759@GO0006401
0.1401,0.1142,0.0895,0.1214,0.1867,0.1572,0.1846,0.3217,0.015,0.2423,0.5,GO0005515@GO0005783@GO0016021@GO0006020@GO0006348@GO0045047
0.1399,0.1324,0.1056,0.052,0.3137,0.1291,0.1819,0.0857,0.014,0.12,0.4,GO0043130@GO0005802@GO0043328@GO0006895@GO0006896
0.0391,0.0493,0.0496,0.0231,0.0337,0.0468,0.024,0.0387,0.029,0.2,0.6,GO0008383@GO0005739@GO0005759@GO0001320@GO0001302
0.109,0.0896,0.0819,0.1225,0.2039,0.073,0.024,0.0561,0.0451,0.4,0.8,GO0003674@GO0005634@GO0005730@GO0006365@GO0000028
0.0045,0.0045,0.0012,0.0085,0.006,0.0584,0.0082,0.0064,0.0057,0.2,0.3333,GO0008398@GO0005783@GO0006696
0.0907,0.0537,0.0271,0.0321,0.0206,0.0787,0.0399,0.0224,0.0116,0.145,0.4,GO0003723@GO0005515@GO0005847@GO0006379@GO0006378
0.2741,0.3162,0.1807,0.1214,0.099,0.4203,0.1485,0.1249,0.1366,0.34,1.0,GO0003735@GO0005843@GO0006412
0.2866,0.1892,0.1579,0.1539,0.2655,0.056,0.1343,0.1025,0.0347,0.2025,1.0,GO0003674@GO0005737@GO0006259@GO0006897@GO0007126
0.0865,0.0744,0.0315,0.0392,0.0248,0.2817,0.0906,0.0697,0.0363,0.2855,1.0,GO0003674@GO0005575@GO0008150
0.1343,0.331,0.1459,0.0444,0.2421,0.3325,0.2569,0.1433,0.1499,0.355,1.0,GO0003735@GO0005843@GO0006412@GO0000028
0.082,0.0785,0.0694,0.0531,0.1313,0.0387,0.0193,0.038,0.0181,0.2895,0.8333,GO0003674@GO0005739@GO0016021@GO0042175@GO0006997@GO0030437
0.23,0.216,0.1377,0.1402,0.2798,0.109,0.09,0.1197,0.0397,0.4,0.5,GO0004177@GO0000324@GO0007039@GO0000723
0.0681,0.0457,0.0313,0.0464,0.0335,0.1067,0.0692,0.0558,0.0289,0.2,1.0,GO0004634@GO0005737@GO0008150
0.0304,0.0765,0.0444,0.0437,0.0411,0.1653,0.087,0.0535,0.0213,0.2296,0.6667,GO0003674@GO0005619@GO0030476
0.3378,0.7501,0.4046,0.1428,0.314,0.0766,0.3938,0.2453,0.0495,0.1347,0.4,GO0004737@GO0050177@GO0005737@GO0006559@GO0006552
0.2521,0.0953,0.0942,0.1156,0.0778,0.2605,0.0959,0.0917,0.0119,0.2292,0.6,GO0004857@GO0005634@GO0005737@GO0007005@GO0006974
0.041,0.0213,0.0171,0.0389,0.0098,0.0704,0.0429,0.0286,0.0213,0.2855,1.0,GO0003674@GO0005575@GO0008150
0.1347,0.1709,0.0765,0.0606,0.0838,0.1309,0.0628,0.0314,0.0169,0.2217,0.625,GO0004842@GO0000175@GO0030015@GO0005737@GO0016567@GO0006368@GO0000289@GO0006357
