Testing error
T(0.0): precision: 0.008477335466954844, recall: 1.0, coverage: 1, TP: 44055, FP: 5152743, nbPos: 44055
T(2.0): precision: 0.008537710875093666, recall: 0.9377823175575984, coverage: 1, TP: 41314, FP: 4797688, nbPos: 44055
T(4.0): precision: 0.009249611117646949, recall: 0.8994665758710703, coverage: 1, TP: 39626, FP: 4244446, nbPos: 44055
T(6.0): precision: 0.010172466191548117, recall: 0.8775394393371921, coverage: 1, TP: 38660, FP: 3761795, nbPos: 44055
T(8.0): precision: 0.011291632915472737, recall: 0.8619225967540575, coverage: 1, TP: 37972, FP: 3324872, nbPos: 44055
T(10.0): precision: 0.012440152894768162, recall: 0.8494155033480876, coverage: 1, TP: 37421, FP: 2970661, nbPos: 44055
T(12.0): precision: 0.01352269422204174, recall: 0.8390194075587334, coverage: 1, TP: 36963, FP: 2696442, nbPos: 44055
T(14.0): precision: 0.01445061857418355, recall: 0.8317330609465441, coverage: 1, TP: 36642, FP: 2499028, nbPos: 44055
T(16.0): precision: 0.015230944083703127, recall: 0.8273975712177959, coverage: 1, TP: 36451, FP: 2356769, nbPos: 44055
T(18.0): precision: 0.015888539020492035, recall: 0.8238565429576665, coverage: 1, TP: 36295, FP: 2248056, nbPos: 44055
T(20.0): precision: 0.016418230524023976, recall: 0.8202474180002269, coverage: 1, TP: 36136, FP: 2164832, nbPos: 44055
T(22.0): precision: 0.016837375637003996, recall: 0.8177732379979571, coverage: 1, TP: 36027, FP: 2103677, nbPos: 44055
T(24.0): precision: 0.017153706534199464, recall: 0.8151855635001702, coverage: 1, TP: 35913, FP: 2057687, nbPos: 44055
T(26.0): precision: 0.017429834069225065, recall: 0.8132561570763818, coverage: 1, TP: 35828, FP: 2019728, nbPos: 44055
T(28.0): precision: 0.017683441921941753, recall: 0.8120531154239019, coverage: 1, TP: 35775, FP: 1987304, nbPos: 44055
T(30.0): precision: 0.01790798853840626, recall: 0.8111678583588696, coverage: 1, TP: 35736, FP: 1959798, nbPos: 44055
T(32.0): precision: 0.01811702685887293, recall: 0.8103506979911475, coverage: 1, TP: 35700, FP: 1934822, nbPos: 44055
T(34.0): precision: 0.0183408126424074, recall: 0.8092384519350811, coverage: 1, TP: 35651, FP: 1908156, nbPos: 44055
T(36.0): precision: 0.01860698822155215, recall: 0.8077857223924639, coverage: 1, TP: 35587, FP: 1876974, nbPos: 44055
T(38.0): precision: 0.018943449166126575, recall: 0.8061060038588128, coverage: 1, TP: 35513, FP: 1839172, nbPos: 44055
T(40.0): precision: 0.019353009467686873, recall: 0.8025649755986834, coverage: 1, TP: 35357, FP: 1791594, nbPos: 44055
T(42.0): precision: 0.01989351398208205, recall: 0.7990920440358643, coverage: 1, TP: 35204, FP: 1734418, nbPos: 44055
T(44.0): precision: 0.020577293015949166, recall: 0.794461468618772, coverage: 1, TP: 35000, FP: 1665904, nbPos: 44055
T(46.0): precision: 0.021469055225415798, recall: 0.78742480989672, coverage: 1, TP: 34690, FP: 1581124, nbPos: 44055
T(48.0): precision: 0.022716074856966372, recall: 0.7796617864033595, coverage: 1, TP: 34348, FP: 1477709, nbPos: 44055
T(50.0): precision: 0.02437253198065123, recall: 0.7709681080467597, coverage: 1, TP: 33965, FP: 1359612, nbPos: 44055
T(52.0): precision: 0.02640792892095041, recall: 0.7604812166609919, coverage: 1, TP: 33503, FP: 1235169, nbPos: 44055
