0.0,0.116,0.1208,0.254,0.0335,0.0288,0.0312,0.0248,0.0094,GO0005515@GO0005849@GO0006369@GO0006379@GO0006378
0.0,0.1877,0.1323,0.3968,0.0324,0.0215,0.0192,0.0181,0.0235,GO0003674@GO0005575@GO0030437
0.0,0.0702,0.0736,0.4683,0.0181,0.0218,0.028,0.019,0.0245,GO0003723@GO0045182@GO0005739@GO0005743@GO0005759@GO0006412@GO0000372
0.0,0.1734,0.1554,0.5238,0.0506,0.0295,0.0494,0.0289,0.0377,GO0031202@GO0046540@GO0000398
0.0,0.1146,0.122,0.3175,0.044,0.0289,0.0444,0.0449,0.0174,GO0031386@GO0005624@GO0006914@GO0006623
0.0,0.1576,0.1669,0.4444,0.0912,0.046,0.0402,0.0995,0.0826,GO0015171@GO0005739@GO0005886@GO0006865
0.0,0.1948,0.1611,0.754,0.2305,0.0616,0.0632,0.0464,0.0114,GO0004049@GO0005950@GO0005737@GO0000162
0.0,0.0974,0.0932,0.6508,0.1351,0.0587,0.1283,0.0917,0.0781,GO0003755@GO0005739@GO0006457
0.0,0.1891,0.0898,0.6111,0.3513,0.1692,0.1591,0.3339,0.189,GO0003700@GO0005634@GO0008652@GO0006990
0.0,0.1246,0.145,0.6587,0.1311,0.0838,0.039,0.0852,0.0276,GO0005515@GO0000938@GO0005794@GO0030029@GO0042147@GO0006896
0.0,0.1146,0.107,0.4127,0.0278,0.0187,0.0167,0.0112,0.0055,GO0005200@GO0042729@GO0000778@GO0005819@GO0005816@GO0005876@GO0030472@GO0031110
0.0,0.0802,0.0736,0.3968,0.0201,0.009,0.0144,0.0062,0.0091,GO0004672@GO0005739@GO0006468@GO0000723
0.0,0.0673,0.1381,0.6111,0.1447,0.1155,0.1535,0.1341,0.0785,GO0004175@GO0019773@GO0005739@GO0006511
0.0,0.0458,0.0748,0.5238,0.1181,0.0697,0.1223,0.08,0.1093,GO0000906@GO0005634@GO0005737@GO0009231
0.0,0.0444,0.0564,0.5635,0.0254,0.0302,0.0715,0.0465,0.0328,GO0005354@GO0005355@GO0005886@GO0006012@GO0015757
0.0,0.2149,0.1116,0.5,0.0003,0.0002,0.0066,0.0002,0.0019,GO0016538@GO0000307@GO0005979@GO0005981
0.0,0.1648,0.2382,0.381,0.0471,0.0307,0.0385,0.0294,0.0151,GO0004003@GO0003682@GO0005656@GO0042555@GO0005634@GO0005737@GO0006267@GO0006270@GO0006268
0.0,0.2636,0.2992,0.4286,0.0617,0.0443,0.0709,0.0319,0.0312,GO0016455@GO0000119@GO0006366
